stopId,long_name,short_name,latitude,longitude,accusative_case,genitive_case
14001529,Vesturgata / Pakkhúsið,Pakkhúsið,64.06994604,-21.9601523,Pakkhúsinu,Pakkhússins
14001530,Vesturgata / Vesturbraut,Vesturbraut,64.069946,-21.963411,Vesturbraut,Vesturbrautar
14001531,Vesturgata / Bungalow,Bungalow,64.070682,-21.965226,Bungalow,Bungalow
14001532,Sundhöll Hafnarfjarðar,Sundhöll Hafnarfjarðar,64.072826,-21.969367,Sundhöll Hafnarfjarðar,Sundhallar Hafnarfjarðar
14001533,Skjólvangur,Skjólvangur,64.077608,-21.966409,Skjólvangi,Skjólvangs
14001534,Hrafnista,Hrafnista,64.07914,-21.971701,Hrafnistu,Hrafnistu
14001535,Hjallabraut / Víðivangur,Víðivangur,64.078842,-21.963587,Víðivangi,Víðivangs
14001536,Hjallabraut / Miðvangur,Miðvangur,64.07927,-21.958053,Miðvangi,Miðvangs
14001537,Hjallahraun,Hjallahraun,64.078033,-21.947396,Hjallahrauni,Hjallahrauns
14001538,Mávahraun,Mávahraun,64.074825,-21.9424,Mávahrauni,Mánahrauns
14001539,Álfaskeið,Álfaskeið,64.071306,-21.941305,Álfaskeiði,Álfaskeiðs
14001540,Sólvangur,Sólvangur,64.068839,-21.939605,Sólvangi,Sólvangs
14001541,Flensborg,Flensborg,64.064381,-21.947992,Flensborg,Flensborgar
14001542,Flensborg,Flensborg,64.064357,-21.948489,Flensborg,Flensborgar
14001543,Hlíðarbraut,Hlíðarbraut,64.062707,-21.953896,Hlíðarbraut,Hlíðarbrautar
14001544,Suðurbæjarlaug,Suðurbæjarlaug,64.060473,-21.962542,Suðurbæjarlaug,Suðurbæjarlaugar
14001545,Strandgata / Flensborgartorg,Flensborgartorg,64.062054,-21.961625,Flensborgartorgi,Flensborgartorgs
14001546,Strandgata / Fjörukráin,Fjörukráin,64.065841,-21.956042,Fjörukránni,Fjörukráarinnar
14001547,Ásvallalaug,Ásvallalaug,64.05205322,-21.97479954,Ásvallalaug,Ásvallalaugar
